,Placename,Country_2,lat,long
0,Barham,England,51.2000262,1.1443965
1,Barnes,England,51.4752941,-0.2392052
2,Barnsley,England,53.55263,-1.479726
3,Belford,England,55.599331,-1.828824
4,Berkeley,England,51.6959856,-2.4583956
6,Blackheath,England,51.4658393,0.0090338
7,Blackwall,England,51.5079838,-0.0071957
11,Caldwell,England,54.5172706,-1.7583259
13,Camden Park,England,51.5467581,-0.1285082
15,Clarendon,England,34.6952361,-91.3060175
16,Clifton,England,51.4661551,-2.6200362
18,Dalton,England,53.5700874,-2.7423349
19,Darlington,England,54.52361,-1.559458
20,Epping,England,51.700328,0.108655
21,Euston,England,52.378017,0.787118
22,Exeter,England,50.718412,-3.533899
24,Gloucester,England,51.8642449,-2.238156
26,Grafton,England,52.029725,-2.019721
29,Ilford,England,51.556619,0.076251
30,Kendall,England,54.328006,-2.74629
33,Manchester Square,England,51.517097,-0.1526474
34,Milton,England,52.243439,0.16144
37,New England,England,43.9653889,-70.8226541
38,Osborne,England,50.750372,-1.269431
40,Oxley,England,52.6188972,-2.1288253
41,Paddington,England,51.515973,-0.174943
43,Penrose,England,50.4980781,-4.9977519
44,Richmond,England,51.461311,-0.303742
45,Rosedale,England,54.3536539,-0.8836449
46,Stanmore,England,51.616419,-0.319686
47,Stroud,England,51.745734,-2.217758
48,Sydenham,England,51.42476,-0.059399
53,Wellington,England,50.978564,-3.2244989
54,Windsor,England,51.4817279,-0.613576
55,Amberley[1],England,50.9063135,-0.533755
57,Blackwall,England,51.5079838,-0.0071957
64,Ipswich[9],England,52.056736,1.14822
66,Kenilworth[11],England,52.349557,-1.58073
70,Paddington,England,51.515973,-0.174943
71,Parkwood,England,51.2363163,0.5614639
72,Richmond,England,51.461311,-0.303742
73,Rothwell,England,52.422681,-0.803219
76,Southport[16],England,53.645708,-3.010113
77,St George[17],England,,
78,Warwick[18],England,52.282316,-1.584927
79,Westwood[19],England,52.3555177,-1.1743197
80,Winton[20],England,52.3555177,-1.1743197
81,Brighton,England,50.82253,-0.137163
83,Burton,England,52.8140281,-1.6371359
84,Clarendon,England,34.6952361,-91.3060175
85,Clayton,England,50.9104131,-0.1518546
86,Copley,England,54.623834,-1.8656181
87,Darlington,England,54.52361,-1.559458
88,Dutton,England,53.309322,-2.636368
91,Hammond,England,42.5852232,-70.6924427
92,Hyde Park,England,51.5072682,-0.1657303
94,Loxton,England,51.3085954,-2.8991663
95,Lyndhurst,England,50.872559,-1.5768
96,Malvern,England,52.1116462,-2.32607
97,Mount Pleasant,England,54.702988,-1.587039
99,Redhill,England,51.239208,-0.16988
101,Salisbury,England,51.068785,-1.794472
102,Spalding,England,52.7901016,-0.1537024
105,Wellington,England,50.978564,-3.2244989
106,Woodside,England,51.4360065,-0.657514
108,Bellingham,England,55.14578,-2.254156
110,Blackwall,England,51.5079838,-0.0071957
112,Brighton,England,50.82253,-0.137163
113,Cranbrook,England,51.095582,0.537639
116,Exeter,England,50.718412,-3.533899
117,Falmouth,England,50.152571,-5.06627
118,Harford,England,50.4186509,-3.918313
119,Kempton,England,52.44054,-2.94266
120,Kettering,England,52.396322,-0.730249
125,Richmond,England,51.461311,-0.303742
126,Sheffield,England,53.381129,-1.470085
129,Westbury,England,51.256659,-2.185772
133,Addington,England,51.358673,-0.0312539
138,Brighton,England,50.82253,-0.137163
139,Burnley,England,53.7892877,-2.2405035
140,Charlton,England,51.4900403,0.0307737
142,Cheltenham,England,51.8993855,-2.0782533
144,Dartmouth,England,50.352517,-3.578807
146,Epping,England,51.700328,0.108655
150,Hastings,England,50.854259,0.573453
151,Heywood,England,53.592628,-2.22565
152,Horsham,England,51.062883,-0.325858
153,Inglewood,England,54.7833333,-2.9166667
157,Malvern,England,52.1116462,-2.32607
159,Merton,England,51.4097742,-0.2108084
161,Oxley,England,52.6188972,-2.1288253
163,Preston,England,53.763201,-2.70309
164,Ringwood,England,50.844949,-1.788817
165,Richmond,England,51.461311,-0.303742
166,Red Hill,England,51.239208,-0.16988
167,Rochester,England,51.388,0.506721
168,Rosedale,England,54.3536539,-0.8836449
169,Stratford,England,52.19173,-1.708298
171,Woodside,England,51.4360065,-0.657514
174,Boddington,England,52.1734458,-1.3020586
175,Brighton,England,50.82253,-0.137163
176,Carlisle,England,54.892473,-2.932931
178,Darlington,England,54.52361,-1.559458
179,Denham,England,51.569583,-0.493857
180,Derby,England,52.9225301,-1.4746186
184,Inglewood,England,54.7833333,-2.9166667
185,Northampton,England,52.240477,-0.902656
186,Parkwood,England,51.2363163,0.5614639
189,Spalding,England,52.7901016,-0.1537024
190,Warwick,England,52.282316,-1.584927
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,