TITLE,PLACE,STATUS,DEFINITION,,NF/NB,Latitude,Longitude,Source,Notes
484_2_08_1884_5_XVI_FROM DROUGHT TO FLOOD. -RONALD'S LAST RESOURCE.-MOLONGA CREEK STATION.-THE PARRAMATTA PET_67865950.txt,Boorooma,PLACE,STATION,LOCATED,NB,-30.1037915,147.465555,State Records (ANPS),Two possible locations so have listed both
484_2_08_1884_5_XVI_FROM DROUGHT TO FLOOD. -RONALD'S LAST RESOURCE.-MOLONGA CREEK STATION.-THE PARRAMATTA PET_67865950.txt,Boorooma,PLACE,STATION,LOCATED,NB,-31.21759,146.47316,State Records (ANPS),Two possible locations so have listed both
363_17_06_1882_745_V.__19784798.txt,Warroo,PLACE,UNCERTAIN,LOCATED,NB,,,,
13652_17_12_1892_15_I__162189337.txt,Burraga,PLACE,STATION,LOCATED,NF,-33.9425,149.621944,State Records (TLCM),
5013_4_05_1901_837_XII_Bedourie on the Trail._21262096.txt,Tarcoola,PLACE,STATION,LOCATED,NONE,,,,
14042_8_5_1880_862_I__161877067.txt,Quondong,PLACE,STATION,LOCATED,NC,,,,
14042_8_5_1880_862_I__161877067.txt,Quondong,PLACE,STATION,MULTIPLE ENTRIES,NB,,,,
4636_19_12_1891_7_I__20298766.txt,Burra,PLACE,STATION,MULTIPLE ENTRIES,NB,,,,
4706_22_10_1898_37_III__162332428.txt,Wandinong,PLACE,STATION,MULTIPLE ENTRIES,NB,,,,
4636_19_12_1891_7_I__20298766.txt,Burra,PLACE,STATION,MULTIPLE ENTRIES,NB,,,,
21323_26_8_1893_33_None__160813349.txt,Toogong,PLACE,PLACE,LOCATED,NB,,,,
13144_31_7_1891_7_4. VI_A MURDERED TRAVELLER_111981788.txt,Burra,PLACE,STATION,MULTIPLE ENTRIES,NONE,,,,
19054_14_8_1897_32_I__196845802.txt,Nandewar,PLACE,TOWN,MULTIPLE ENTRIES,NF,,,,
411_3_02_1898_7_VII-(Continued.)__3665793.txt,Nandewar,PLACE,TOWN,MULTIPLE ENTRIES,NF,,,,
4672_21_12_1895_1169_III__21639214.txt,Bendemere,PLACE,STATION,MULTIPLE ENTRIES,NC,,,,
19054_11_9_1897_29_VIII __196840414.txt,Nandewar,PLACE,TOWN,MULTIPLE ENTRIES,NB,,,,
23916_9_11_1918_42_I_Defeat_22366486.txt,Wilcannia,PLACE,TOWN,LOCATED,NF,,,,
470_8_12_1894_11_XVII_TELLING DOLLY THE NEWS._8724441.txt,Kooringa,PLACE,STATION,MULTIPLE ENTRIES,NF,,,,
470_8_12_1894_11_XVII_TELLING DOLLY THE NEWS._8724441.txt,Wilcannia,PLACE,TOWN,LOCATED,NF,,,,
14918_2_6_1894_7_3.XI_COLLECTING THE CRUMBS._108683505.txt,Yarrangobilly,PLACE,RUN,LOCATED,NF,,,,
9297_14_10_1899_764_VI.-(Continued.)__22561399.txt,Darling Downs,PLACE,STATION,MULTIPLE ENTRIES,NF/NB,,,,
14918_2_6_1894_7_3.XI_COLLECTING THE CRUMBS._108683505.txt,Wyalong,PLACE,STATION,LOCATED,NF,,,,